rank,sequence,airport_A,airport_B,cascade_probability,risk_level
12262,SBP → DFW → RNO,SBP,RNO,0.1268,NORMAL
12263,BUF → DFW → CLE,BUF,CLE,0.1268,NORMAL
12264,HNL → DFW → CAE,HNL,CAE,0.1268,NORMAL
12265,HNL → DFW → ORD,HNL,ORD,0.1267,NORMAL
12266,ICT → DFW → DRO,ICT,DRO,0.1267,NORMAL
12267,MCI → DFW → SBP,MCI,SBP,0.1266,NORMAL
12268,ATL → DFW → ELP,ATL,ELP,0.1266,NORMAL
12269,BOI → DFW → ORD,BOI,ORD,0.1266,NORMAL
12270,TUS → DFW → PIT,TUS,PIT,0.1265,NORMAL
12271,RDU → DFW → LEX,RDU,LEX,0.1265,NORMAL
12272,FLL → DFW → HDN,FLL,HDN,0.1265,NORMAL
12273,PHL → DFW → JAC,PHL,JAC,0.1265,NORMAL
12274,TUL → DFW → BFL,TUL,BFL,0.1264,NORMAL
12275,BUF → DFW → DRO,BUF,DRO,0.1264,NORMAL
12276,SAV → DFW → GEG,SAV,GEG,0.1264,NORMAL
12277,ONT → DFW → MCI,ONT,MCI,0.1264,NORMAL
12278,SYR → DFW → FAT,SYR,FAT,0.1263,NORMAL
12279,ICT → DFW → PIT,ICT,PIT,0.1263,NORMAL
12280,ECP → DFW → GRR,ECP,GRR,0.1263,NORMAL
12281,OGG → DFW → MKE,OGG,MKE,0.1263,NORMAL
12282,COS → DFW → TYS,COS,TYS,0.1263,NORMAL
